review_id,review_status,review_reason,source_table,source_row_number,source_school_name,source_state,source_degree_type,school_id,school_name,match_score,second_match_score,recommended_action,created_date,resolved_date,resolution_notes
aamc_msar_admission_policies_csv_111_northeast_ohio_medical_university_below_safe_threshold,open,below_safe_threshold,aamc_msar_admission_policies.csv,111,Northeast Ohio Medical University,OH,MD,md_northeast_ohio_medical_university_college_of_medicine_rootstown_ohio,Northeast Ohio Medical University College of Medicine,0.795,0.648,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_121_pennsylvania_state_university_college_of_medicine_ambiguous_match_gap,open,ambiguous_match_gap,aamc_msar_admission_policies.csv,121,Pennsylvania State University College of Medicine,PA,MD,md_drexel_university_college_of_medicine_philadelphia_pennsylvania,Drexel University College of Medicine,0.75,0.74,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_122_perelman_school_of_medicine_at_the_university_of_pennsylvania_below_safe_threshold,open,below_safe_threshold,aamc_msar_admission_policies.csv,122,Perelman School of Medicine at the University of Pennsylvania,PA,MD,md_raymond_and_ruth_perelman_school_of_medicine_at_the_university_of_pennsylvania_p,Raymond and Ruth Perelman School of Medicine at the University of Pennsylvania,0.881,0.706,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_125_ponce_health_sciences_university_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_admission_policies.csv,125,Ponce Health Sciences University School of Medicine,PR,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_126_san_juan_bautista_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_admission_policies.csv,126,San Juan Bautista School of Medicine,PR,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_127_universidad_central_del_caribe_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_admission_policies.csv,127,Universidad Central del Caribe School of Medicine,PR,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_131_university_of_south_carolina_school_of_medicine_columbia_ambiguous_match_gap,open,ambiguous_match_gap,aamc_msar_admission_policies.csv,131,University of South Carolina School of Medicine Columbia,SC,MD,md_university_of_south_carolina_school_of_medicine_greenville_greenville_south_caro,"University of South Carolina School of Medicine, Greenville",0.843,0.82,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_135_meharry_medical_college_low_match_score,open,low_match_score,aamc_msar_admission_policies.csv,135,Meharry Medical College,TN,MD,md_meharry_medical_college_school_of_medicine_nashville_tennessee,Meharry Medical College School of Medicine,0.742,0.474,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_139_anne_burnett_marion_school_of_medicine_at_tcu_below_safe_threshold,open,below_safe_threshold,aamc_msar_admission_policies.csv,139,Anne Burnett Marion School of Medicine at TCU,TX,MD,md_anne_burnett_marion_school_of_medicine_at_texas_christian_university_fort_worth_,Anne Burnett Marion School of Medicine at Texas Christian University,0.772,0.551,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_140_baylor_college_of_medicine_below_safe_threshold,open,below_safe_threshold,aamc_msar_admission_policies.csv,140,Baylor College of Medicine,TX,MD,md_baylor_college_of_medicine_school_of_medicine_houston_texas,Baylor College of Medicine School of Medicine,0.868,0.557,review source match,2026-06-05,,
