school_id,school_name,degree_type,candidate_source_url,source_status,extraction_status,review_status,last_checked,notes
do_vcom_auburn_campus_edward_via_college_of_osteopathic_medicine_auburn_alabama,Edward Via College of Osteopathic Medicine,DO,,,,,,
do_acom_alabama_college_of_osteopathic_medicine_dothan_alabama,Alabama College of Osteopathic Medicine,DO,,,,,,
do_mwu_azcom_midwestern_university_arizona_college_of_osteopathic_medicine_glendale,Midwestern University Arizona College of Osteopathic Medicine,DO,,,,,,
do_atsu_soma_a_t_still_university_school_of_osteopathic_medicine_in_arizona_mesa_ar,"A.T. Still University, School of Osteopathic Medicine in Arizona",DO,,,,,,
do_tvcom_the_valley_college_of_osteopathic_medicine_phoenix_arizona,The Valley College of Osteopathic Medicine,DO,,,,,,
do_arcom_arkansas_college_of_osteopathic_medicine_fort_smith_arkansas,Arkansas College of Osteopathic Medicine,DO,,,,,,
do_nyitcom_jonesboro_new_york_institute_of_technology_college_of_osteopathic_medici,New York Institute of Technology College of Osteopathic Medicine at Arkansas State,DO,,,,,,
do_chsu_com_california_health_sciences_university_college_of_osteopathic_medicine_c,California Health Sciences University College of Osteopathic Medicine,DO,,,,,,
do_westernu_comp_western_university_of_health_sciences_college_of_osteopathic_medic,Western University of Health Sciences College of Osteopathic Medicine of the Pacific,DO,,,,,,
do_tucom_touro_university_college_of_osteopathic_medicine_california_vallejo_califo,Touro University College of Osteopathic Medicine-California,DO,,,,,,
do_unc_com_university_of_northern_colorado_college_of_osteopathic_medicine_greely_c,University of Northern Colorado College of Osteopathic Medicine,DO,,,,,,
do_rvucom_rocky_vista_university_college_of_osteopathic_medicine_parker_colorado,Rocky Vista University College of Osteopathic Medicine,DO,,,,,,
do_lecom_bradenton_lake_erie_college_of_osteopathic_medicine_bradenton_bradenton_fl,Lake Erie College of Osteopathic Medicine – Bradenton,DO,,,,,,
do_ocom_orlando_college_of_osteopathic_medicine_celebration_florida,Orlando College of Osteopathic Medicine,DO,,,,,,
do_nsu_kpcom_clearwater_nova_southeastern_university_dr_kiran_c_patel_college_of_os,Nova Southeastern University – Dr. Kiran C. Patel College of Osteopathic Medicine,DO,,,,,,
do_nsu_kpcom_nova_southeastern_university_dr_kiran_c_patel_college_of_osteopathic_m,Nova Southeastern University – Dr. Kiran C. Patel College of Osteopathic Medicine,DO,,,,,,
do_lecom_jacksonville_lake_erie_college_of_osteopathic_medicine_jacksonville_jackso,Lake Erie College of Osteopathic Medicine – Jacksonville,DO,,,,,,
do_bcsom_fl_burrell_college_school_of_osteopathic_medicine_florida_melbourne_florid,"Burrell College School of Osteopathic Medicine, Florida",DO,,,,,,
do_lmu_dcom_orange_park_lincoln_memorial_university_debusk_college_of_osteopathic_m,Lincoln Memorial University-DeBusk College of Osteopathic Medicine – Orange Park,DO,,,,,,
do_pcom_south_georgia_philadelphia_college_of_osteopathic_medicine_south_georgia_mo,Philadelphia College of Osteopathic Medicine South Georgia,DO,,,,,,
do_pcom_georgia_philadelphia_college_of_osteopathic_medicine_georgia_suwanee_georgi,Philadelphia College of Osteopathic Medicine Georgia,DO,,,,,,
do_icom_idaho_college_of_osteopathic_medicine_meridian_idaho,Idaho College of Osteopathic Medicine,DO,,,,,,
do_illinoiscom_illinois_college_of_osteopathic_medicine_chicago_illinois,Illinois College of Osteopathic Medicine,DO,,,,,,
do_mwu_ccom_midwestern_university_chicago_college_of_osteopathic_medicine_downers_g,Midwestern University Chicago College of Osteopathic Medicine,DO,,,,,,
do_mu_wcom_marian_university_tom_and_julie_wood_college_of_osteopathic_medicine_ind,Marian University Tom and Julie Wood College of Osteopathic Medicine,DO,,,,,,
do_dmu_com_des_moines_university_college_of_osteopathic_medicine_west_des_moines_io,Des Moines University College of Osteopathic Medicine,DO,,,,,,
do_kansascom_kansas_health_sciences_center_kansas_college_of_osteopathic_medicine_w,Kansas Health Sciences Center Kansas College of Osteopathic Medicine,DO,,,,,,
do_up_kycom_university_of_pikeville_kentucky_college_of_osteopathic_medicine_pikevi,University of Pikeville Kentucky College of Osteopathic Medicine,DO,,,,,,
do_vcom_louisiana_edward_via_college_of_osteopathic_medicine_louisiana_campus_monro,Edward Via College of Osteopathic Medicine-Louisiana Campus,DO,,,,,,
do_unecom_university_of_new_england_college_of_osteopathic_medicine_biddeford_maine,University of New England College of Osteopathic Medicine,DO,,,,,,
do_msom_meritus_school_of_osteopathic_medicine_hagerstown_maryland,Meritus School of Osteopathic Medicine,DO,,,,,,
do_msucom_dmc_michigan_state_university_college_of_osteopathic_medicine_detroit_mic,Michigan State University College of Osteopathic Medicine,DO,,,,,,
do_msucom_michigan_state_university_college_of_osteopathic_medicine_east_lansing_mi,Michigan State University College of Osteopathic Medicine,DO,,,,,,
